1,9876543210,8765432109,1,01-08-2018 01:25:03,121
2,9876543211,8765432110,1,02-08-2018 02:26:04,237
3,9876543212,8765432111,2,03-08-2018 03:27:05,341
4,9876543210,8765432112,1,04-08-2018 04:28:06,80
5,9876543211,8765432113,1,05-08-2018 05:29:07,124
6,9876543212,8765432114,2,06-08-2018 06:30:08,40
7,9876543210,8765432115,1,07-08-2018 07:31:09,25
8,9876543211,8765432116,1,08-08-2018 08:32:10,34
9,9876543212,8765432117,2,09-08-2018 09:33:11,61
10,9876543210,8765432118,1,10-08-2018 10:34:12,96
11,9876543211,8765432119,1,11-08-2018 11:35:13,138
12,9876543212,8765432120,2,12-08-2018 12:36:24,20
13,9876543210,8765432121,1,13-08-2018 13:37:25,5
